word_freq_make,word_freq_address,word_freq_all,word_freq_3d,word_freq_our,word_freq_over,word_freq_remove,word_freq_internet,word_freq_order,word_freq_mail,word_freq_receive,word_freq_will,word_freq_people,word_freq_report,word_freq_addresses,word_freq_free,word_freq_business,word_freq_email,word_freq_you,word_freq_credit,word_freq_your,word_freq_font,word_freq_000,word_freq_money,word_freq_hp,word_freq_hpl,word_freq_george,word_freq_650,word_freq_lab,word_freq_labs,word_freq_telnet,word_freq_857,word_freq_data,word_freq_415,word_freq_85,word_freq_technology,word_freq_1999,word_freq_parts,word_freq_pm,word_freq_direct,word_freq_cs,word_freq_meeting,word_freq_original,word_freq_project,word_freq_re,word_freq_edu,word_freq_table,word_freq_conference,char_freq_;,char_freq_(,char_freq_[,char_freq_!,char_freq_$,char_freq_#,capital_run_length_average,capital_run_length_longest,capital_run_length_total,spam,Predicted_spam
Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,0,0
High,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,Zero,High,Zero,Low,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Low,Zero,Low,Low,Low,0,0
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,0,0
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Medium,Low,Low,1,1
Zero,Zero,High,Zero,Zero,Zero,High,Zero,Zero,Zero,High,High,Zero,Zero,Zero,High,Zero,Zero,High,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Low,Medium,Zero,Low,Low,Low,1,1
Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,High,High,Low,Zero,Low,1,1
Medium,Medium,Low,Zero,Low,Medium,Low,Low,Low,High,Medium,Low,High,Zero,Low,Low,Zero,Zero,High,Zero,Medium,Zero,Low,Medium,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Low,Zero,Medium,High,Medium,Medium,Medium,Medium,1,1
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Low,Low,Zero,1,1
Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,0,0
Low,Zero,Low,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Low,Zero,Zero,Zero,Low,Zero,Zero,Low,Zero,Low,Zero,Zero,Zero,Low,Low,Low,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,High,Medium,Low,Zero,Low,Zero,Low,Medium,Medium,0,0
Zero,Zero,High,Medium,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Low,Low,Low,1,1
Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Medium,High,Zero,Medium,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,High,Zero,High,High,Zero,Low,Medium,Low,1,1
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,0,0
Zero,Zero,Zero,Zero,Medium,Medium,Medium,Medium,Zero,Zero,High,Zero,Zero,Zero,Zero,Medium,Zero,Zero,High,Zero,High,Zero,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Low,Low,Low,1,1
Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,High,High,Zero,High,Zero,High,High,Zero,Zero,Zero,High,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,Low,Zero,Low,0,0
Low,Zero,Low,Zero,Low,Low,Zero,Zero,High,Zero,Zero,Low,Zero,Low,Zero,Zero,Zero,Low,Low,Zero,Low,Zero,Zero,Zero,Low,Medium,Low,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Zero,High,High,Low,Zero,Low,Zero,Medium,Medium,Medium,0,0
High,Zero,High,Zero,Zero,Zero,High,Zero,Zero,Zero,High,High,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Medium,Low,Low,1,1
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Medium,Low,Zero,0,0
Zero,High,High,Zero,Medium,Medium,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,High,Zero,Zero,Medium,High,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,0,1
Low,Zero,Low,Zero,Low,Medium,Zero,Low,Low,Zero,Low,Low,Zero,Zero,Low,Zero,Zero,Low,Low,Zero,Low,Zero,Zero,Zero,Low,Low,Low,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,High,Medium,Low,Zero,Low,Zero,Low,Medium,Medium,0,1
Zero,Zero,Medium,Zero,High,Zero,Zero,Zero,Zero,Medium,Zero,Low,Zero,Zero,Zero,Medium,High,Zero,High,Zero,Medium,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Low,Zero,High,Medium,Zero,Medium,Medium,Medium,1,1
Zero,Zero,Low,Zero,Medium,High,Medium,High,Zero,Zero,Zero,Low,Medium,Zero,Zero,Low,Low,Zero,Medium,Zero,High,Zero,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Medium,Zero,Zero,Zero,Low,1,1
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Medium,Zero,Medium,High,Zero,Medium,Low,Low,1,1
Zero,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,High,Low,Zero,High,Zero,Zero,Zero,High,Medium,Medium,Zero,Zero,High,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,High,Zero,Zero,Zero,Zero,Medium,Low,Low,0,0
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,0,0
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Medium,Medium,Zero,Low,Low,Low,1,1
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Medium,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Low,Zero,Medium,Low,Medium,Low,Low,Low,1,1
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,High,High,High,High,High,High,High,High,Zero,High,High,High,High,Zero,Zero,High,Zero,Zero,High,Zero,High,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Low,Low,Low,0,0
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Zero,Low,Low,Zero,Medium,Low,Low,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Low,0,0
Zero,Medium,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,Zero,High,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,0,0
Zero,Zero,Low,Zero,Low,Low,Zero,Zero,Low,Zero,Low,Medium,Zero,Zero,Zero,Low,Low,Zero,Low,Zero,Low,Zero,Zero,Zero,Medium,Medium,Zero,Low,Zero,Low,Low,Zero,Low,Zero,Low,Low,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Low,Medium,Zero,Low,Low,Low,Low,Low,Medium,0,0
Low,Zero,Low,Zero,Low,Zero,Zero,Zero,High,Zero,Zero,Low,Zero,Zero,Zero,Zero,Zero,Low,Low,Zero,Low,Zero,Zero,Zero,Low,Medium,Low,Zero,Zero,Low,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Zero,Low,Zero,High,Medium,Medium,Zero,Low,Zero,Low,Medium,Medium,0,0
Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,0,0
High,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Medium,Zero,Zero,Medium,Medium,Zero,Zero,Zero,Medium,Zero,Low,Zero,High,Low,Low,Low,0,0
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,High,Zero,Zero,High,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Low,Zero,0,0
Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,High,Medium,Medium,High,Medium,High,High,Zero,High,High,High,High,Zero,High,High,Zero,Medium,High,Zero,Medium,Zero,Zero,Zero,Zero,High,High,Zero,Zero,Zero,Low,Low,Low,0,0
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Low,Low,Zero,1,1
Zero,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Medium,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Medium,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Medium,Zero,Zero,Zero,Zero,High,Zero,Zero,Medium,Zero,Zero,Low,Zero,Zero,Low,Low,Low,0,0
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,0,0
Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Low,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Medium,Zero,Zero,Zero,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Zero,Medium,Medium,Medium,High,Zero,Medium,High,High,Zero,Medium,Zero,Medium,High,Zero,Zero,Low,High,Medium,Zero,Zero,Zero,Low,Low,Low,0,0
Zero,Low,Medium,Zero,Medium,Zero,Low,Low,High,Medium,High,Medium,Zero,Zero,Zero,Medium,Zero,High,High,Zero,Medium,Low,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Zero,Zero,Low,Zero,High,Medium,Medium,Medium,Medium,Medium,1,1
Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,0,0
Zero,Zero,Zero,Zero,Medium,Medium,Zero,High,Zero,High,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Low,Medium,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Low,Medium,Zero,Zero,Medium,Medium,Medium,1,1
High,High,Medium,Zero,Zero,Zero,Zero,Zero,Zero,High,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,High,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Low,Zero,Zero,Low,Low,Low,0,0
Zero,Zero,Zero,Zero,Medium,Zero,Zero,High,Zero,Zero,Medium,High,Zero,Zero,Zero,Zero,High,Zero,High,Zero,High,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Medium,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,1,1
